date_added,date_id,year,month,month_name,day,day_of_week,day_name,quarter
2016-09-30,196,2016,9,September,30,4,Friday,3
2016-10-01,197,2016,10,October,1,5,Saturday,4
2016-10-04,198,2016,10,October,4,1,Tuesday,4
2016-10-07,199,2016,10,October,7,4,Friday,4
2016-10-12,200,2016,10,October,12,2,Wednesday,4
2016-10-13,201,2016,10,October,13,3,Thursday,4
2016-10-14,202,2016,10,October,14,4,Friday,4
2016-10-15,203,2016,10,October,15,5,Saturday,4
2016-10-16,204,2016,10,October,16,6,Sunday,4
2016-10-21,205,2016,10,October,21,4,Friday,4
2016-10-27,206,2016,10,October,27,3,Thursday,4
2016-10-28,207,2016,10,October,28,4,Friday,4
2016-10-29,208,2016,10,October,29,5,Saturday,4
2016-11-01,209,2016,11,November,1,1,Tuesday,4
2016-11-02,210,2016,11,November,2,2,Wednesday,4
2016-11-04,211,2016,11,November,4,4,Friday,4
2016-11-09,212,2016,11,November,9,2,Wednesday,4
2016-11-10,213,2016,11,November,10,3,Thursday,4
2016-11-11,214,2016,11,November,11,4,Friday,4
2016-11-15,215,2016,11,November,15,1,Tuesday,4
2016-11-17,216,2016,11,November,17,3,Thursday,4
2016-11-18,217,2016,11,November,18,4,Friday,4
2016-11-19,218,2016,11,November,19,5,Saturday,4
2016-11-21,219,2016,11,November,21,0,Monday,4
2016-11-22,220,2016,11,November,22,1,Tuesday,4
2016-11-25,221,2016,11,November,25,4,Friday,4
2016-11-30,222,2016,11,November,30,2,Wednesday,4
2016-12-01,223,2016,12,December,1,3,Thursday,4
2016-12-02,224,2016,12,December,2,4,Friday,4
2016-12-03,225,2016,12,December,3,5,Saturday,4
2016-12-04,226,2016,12,December,4,6,Sunday,4
2016-12-05,227,2016,12,December,5,0,Monday,4
2016-12-06,228,2016,12,December,6,1,Tuesday,4
2016-12-08,229,2016,12,December,8,3,Thursday,4
2016-12-09,230,2016,12,December,9,4,Friday,4
2016-12-10,231,2016,12,December,10,5,Saturday,4
2016-12-11,232,2016,12,December,11,6,Sunday,4
2016-12-12,233,2016,12,December,12,0,Monday,4
2016-12-13,234,2016,12,December,13,1,Tuesday,4
2016-12-14,235,2016,12,December,14,2,Wednesday,4
2016-12-15,236,2016,12,December,15,3,Thursday,4
2016-12-16,237,2016,12,December,16,4,Friday,4
2016-12-19,238,2016,12,December,19,0,Monday,4
2016-12-20,239,2016,12,December,20,1,Tuesday,4
2016-12-21,240,2016,12,December,21,2,Wednesday,4
2016-12-23,241,2016,12,December,23,4,Friday,4
2016-12-25,242,2016,12,December,25,6,Sunday,4
2016-12-26,243,2016,12,December,26,0,Monday,4
2016-12-27,244,2016,12,December,27,1,Tuesday,4
2016-12-28,245,2016,12,December,28,2,Wednesday,4
2016-12-30,246,2016,12,December,30,4,Friday,4
2016-12-31,247,2016,12,December,31,5,Saturday,4
2017-01-01,248,2017,1,January,1,6,Sunday,1
2017-01-03,249,2017,1,January,3,1,Tuesday,1
2017-01-04,250,2017,1,January,4,2,Wednesday,1
2017-01-05,251,2017,1,January,5,3,Thursday,1
2017-01-06,252,2017,1,January,6,4,Friday,1
2017-01-07,253,2017,1,January,7,5,Saturday,1
2017-01-10,254,2017,1,January,10,1,Tuesday,1
2017-01-12,255,2017,1,January,12,3,Thursday,1
2017-01-13,256,2017,1,January,13,4,Friday,1
2017-01-14,257,2017,1,January,14,5,Saturday,1
2017-01-15,258,2017,1,January,15,6,Sunday,1
2017-01-16,259,2017,1,January,16,0,Monday,1
2017-01-17,260,2017,1,January,17,1,Tuesday,1
2017-01-18,261,2017,1,January,18,2,Wednesday,1
2017-01-19,262,2017,1,January,19,3,Thursday,1
2017-01-20,263,2017,1,January,20,4,Friday,1
2017-01-23,264,2017,1,January,23,0,Monday,1
2017-01-24,265,2017,1,January,24,1,Tuesday,1
2017-01-25,266,2017,1,January,25,2,Wednesday,1
2017-01-26,267,2017,1,January,26,3,Thursday,1
2017-01-27,268,2017,1,January,27,4,Friday,1
2017-01-29,269,2017,1,January,29,6,Sunday,1
2017-01-31,270,2017,1,January,31,1,Tuesday,1
