content_key,country_id
1682,116
1683,85
1684,46
1685,116
1686,116
1686,54
1687,116
1688,116
1689,116
1690,115
1690,116
1691,116
1692,116
1692,21
1693,116
1694,54
1695,116
1696,21
1697,21
1697,116
1697,50
1698,116
1699,115
1699,116
1700,116
1701,116
1702,116
1703,46
1704,116
1705,16
1706,52
1707,103
1708,85
1709,111
1710,85
1711,116
1712,101
1713,46
1714,5
1715,116
1715,21
1716,16
1717,7
1718,116
1719,116
1720,60
1720,21
1720,37
1721,8
1722,116
1723,116
1725,54
1725,21
1725,116
1726,78
1727,116
1728,109
1729,103
1729,37
1729,21
1730,116
1731,7
1732,116
1733,85
1734,5
1735,21
1736,85
1737,116
1738,34
1739,21
1740,21
1741,106
1742,46
1743,39
1744,54
1747,21
1748,21
1748,116
1749,116
1750,116
1751,116
1752,116
1753,116
1754,21
1755,116
1756,116
1757,116
1758,116
1759,21
1760,30
1760,96
1760,21
1760,116
1761,116
1761,37
1761,30
1762,116
1763,116
1763,24
1763,25
1764,116
1765,115
1765,37
1765,39
1765,116
1766,37
1766,116
1767,101
1768,103
1768,110
1768,116
1769,116
1770,101
1771,116
1772,16
1773,79
1774,7
1775,116
1776,115
1777,78
1778,46
1780,116
1781,37
1782,116
1783,52
1784,68
1784,103
1785,85
1786,116
1788,116
1789,86
1790,116
1791,116
1792,116
1793,5
1794,116
1795,109
1796,46
1797,50
1797,63
1797,13
1798,7
1799,16
1800,39
1801,116
1802,24
1802,116
1803,116
1804,103
1805,116
1806,116
1807,79
1808,85
1809,115
1810,85
1811,21
1811,13
1812,116
1813,21
1813,115
1814,116
1815,115
1816,21
1817,116
1818,60
1819,60
1820,60
1821,60
1821,114
1821,37
1821,107
1821,39
1822,60
1823,37
1823,13
1823,52
1824,60
1825,60
1825,116
1825,114
1826,60
1826,37
1827,37
1827,60
1828,37
1828,60
1828,115
1830,37
1830,79
1830,60
1830,13
1831,60
1832,60
1832,21
1832,37
1833,106
1833,29
1833,115
1833,30
1833,75
1834,116
1835,101
1836,115
1837,57
1838,116
1839,116
1840,37
1841,68
1841,103
1842,116
1843,116
1843,115
1843,46
1844,116
1844,91
1845,116
1846,116
1847,34
1848,115
1849,116
1850,47
1850,75
1851,47
1852,116
1853,116
1854,46
1855,116
1856,109
1857,116
1858,68
1859,46
1860,115
1861,116
1862,46
1863,46
1864,46
1865,116
1866,46
1867,46
1868,116
1869,116
1870,46
1871,111
1871,101
1872,21
1873,116
1874,116
1875,37
1876,101
1877,5
1878,101
1879,116
1879,21
1880,116
1881,91
1882,116
1883,115
1884,21
1885,116
1886,46
1887,116
1887,115
1888,21
1889,111
1892,111
1894,116
1895,116
1896,7
1897,78
1898,46
1899,52
1900,111
1901,116
1902,68
1903,65
1904,95
1904,116
1905,116
1906,100
1907,116
1908,101
1909,54
1910,116
1911,16
1912,116
1913,76
1914,116
1914,68
1916,39
1916,29
1917,116
1917,115
1918,5
1919,54
1921,93
1922,116
1922,17
1923,116
1924,116
1925,116
1926,68
1927,116
1928,73
1929,54
1930,116
1931,115
1931,57
1932,116
1933,116
1934,7
1935,116
1936,116
1937,116
1938,100
1938,116
1939,46
1940,46
1941,46
1942,46
1943,46
1944,46
1945,46
1946,46
1947,46
1948,116
1949,116
1950,116
1951,46
1952,39
1955,116
1956,101
1958,116
1958,46
1959,116
1960,115
1961,116
1962,116
1963,116
1964,54
1965,54
1966,54
1967,54
1968,54
1970,54
1971,34
1972,46
1973,46
1975,46
1976,46
1977,46
1978,46
1979,116
1980,116
1981,116
1982,47
1983,46
1985,37
1986,115
1988,116
1989,39
1990,52
1991,116
1992,115
1992,37
1992,39
1992,103
1994,86
1995,116
1996,116
1997,103
1998,115
1998,37
1998,116
1998,13
1998,63
1998,24
1998,39
1999,115
2000,110
2000,116
2001,115
2002,37
2002,116
2003,116
2004,116
2004,37
2004,21
2004,13
2006,78
2007,115
2007,24
2008,68
2009,37
2010,116
2011,116
2012,39
2012,24
2012,115
